user_id, o, c, e, a, n, cpb-i, cpb-o, dis_ocean, avg_dis_ocean, dis_os, avg_dis_os, email_ratio, cnt_send, cnt_s_size, cnt_s_attach, cnt_s_days
CMW0783,21.0,35.0,14.0,16.0,26.0,-9.04,-16.67,410.696634843,29.3354739174,30.0,2.14285714286,62.0,1832213.0,0.0,59.0,
RKF0164,40.0,42.0,17.0,18.0,42.0,-12.13,-18.16,848.303690232,32.6270650089,16.0,0.615384615385,2047.0,61354245.0,1371.0,345.0,
DOL0332,32.0,40.0,41.0,18.0,24.0,-7.73,-26.62,454.068911251,23.89836375,16.0,0.842105263158,121.0,3720332.0,117.0,102.0,
RSC0089,41.0,26.0,35.0,21.0,29.0,-9.78,-20.87,673.275586389,24.0455566567,24.0,0.857142857143,188.0,5424852.0,130.0,117.0,
CCM0136,16.0,16.0,39.0,40.0,29.0,-7.85,-18.49,186.677927976,37.3355855953,28.0,5.6,25.0,785187.0,21.0,25.0,
NCH0179,17.0,12.0,40.0,17.0,25.0,1.67,-9.55,1397.26194746,34.9315486864,16.0,0.4,333.0,10106450.0,307.0,207.0,
NBH0256,41.0,43.0,14.0,21.0,22.0,-19.43,-29.12,856.997021115,26.7811569098,24.0,0.75,173.0,5411374.0,148.0,113.0,
ORG0339,50.0,28.0,46.0,47.0,20.0,-23.39,-40.21,662.135620895,41.3834763059,24.0,1.5,134.0,3752364.0,71.0,105.0,
FRR0832,43.0,40.0,25.0,19.0,30.0,-14.02,-25.04,294.84363997,26.80396727,16.0,1.45454545455,52.0,1544658.0,71.0,48.0,
MSD0939,24.0,37.0,15.0,42.0,31.0,-19.99,-26.73,1463.7314292,31.1432218978,16.0,0.340425531915,333.0,10232598.0,79.0,184.0,
OQH0183,34.0,38.0,18.0,33.0,23.0,-20.45,-30.1,652.163825326,25.083224051,16.0,0.615384615385,137.0,4236705.0,22.0,111.0,
BSH0445,38.0,22.0,30.0,15.0,21.0,-8.83,-19.06,808.503901626,26.0807710202,16.0,0.516129032258,331.0,9890491.0,212.0,193.0,
NGO0690,43.0,41.0,41.0,17.0,24.0,-10.76,-29.4,818.912227144,27.2970742381,24.0,0.8,152.0,4795160.0,86.0,107.0,
VCC0396,21.0,45.0,16.0,37.0,23.0,-19.89,-31.33,828.168421746,29.5774436338,30.0,1.07142857143,345.0,10140465.0,354.0,221.0,
KPP0452,44.0,46.0,44.0,16.0,19.0,-11.88,-34.15,194.262344702,38.8524689404,16.0,3.2,16.0,496637.0,14.0,15.0,
RTO0313,44.0,45.0,25.0,17.0,27.0,-14.98,-28.08,1257.55457396,28.5807857718,16.0,0.363636363636,297.0,8995870.0,279.0,186.0,
ABM0845,45.0,21.0,35.0,50.0,29.0,-22.65,-31.56,333.213847632,33.3213847632,16.0,1.6,44.0,1313487.0,23.0,39.0,
VIA0063,40.0,34.0,19.0,50.0,33.0,-26.27,-32.23,1579.96015183,32.9158364965,16.0,0.333333333333,798.0,24306464.0,217.0,279.0,
CCW0031,33.0,47.0,30.0,39.0,33.0,-18.77,-33.01,1304.59430459,28.360745752,16.0,0.347826086957,253.0,7252503.0,168.0,181.0,
IYB0918,17.0,21.0,42.0,14.0,30.0,3.22,-10.17,500.996833993,29.4704019996,16.0,0.941176470588,294.0,8671742.0,79.0,166.0,
ORM0669,44.0,39.0,28.0,39.0,36.0,-20.57,-30.59,803.595046149,27.7101740051,24.0,0.827586206897,643.0,19492398.0,647.0,262.0,
MJB0588,39.0,24.0,15.0,47.0,38.0,-22.88,-23.52,404.949950985,33.7458292488,16.0,1.33333333333,47.0,1266119.0,12.0,42.0,
LIM0674,18.0,13.0,35.0,49.0,20.0,-15.0,-25.11,1329.58429232,41.5495091349,16.0,0.5,554.0,16936587.0,456.0,242.0,
LHN0151,13.0,15.0,19.0,32.0,26.0,-9.07,-13.03,814.834927155,33.9514552981,18.0,0.75,24.0,721171.0,12.0,20.0,
WTR0563,47.0,45.0,46.0,15.0,31.0,-8.81,-28.65,935.550799129,34.6500295974,16.0,0.592592592593,208.0,6290611.0,0.0,144.0,
MKS0204,21.0,30.0,21.0,16.0,31.0,-5.29,-12.96,1329.36237241,27.1298443348,18.0,0.367346938776,585.0,17489885.0,154.0,232.0,
AAW0353,49.0,45.0,19.0,25.0,34.0,-19.74,-28.6,368.997411014,30.7497842512,28.0,2.33333333333,38.0,1205143.0,0.0,38.0,
WJD0576,40.0,20.0,23.0,38.0,26.0,-19.55,-24.92,154.758463833,25.7930773055,30.0,5.0,38.0,1189655.0,8.0,36.0,
ILH0958,28.0,17.0,20.0,19.0,24.0,-8.53,-13.39,284.329599974,31.5921777749,16.0,1.77777777778,39.0,1166974.0,48.0,37.0,
TLK0993,41.0,36.0,40.0,35.0,22.0,-17.83,-34.9,755.918949919,27.9969981452,16.0,0.592592592593,571.0,16864845.0,0.0,241.0,
RAG0275,23.0,38.0,35.0,41.0,32.0,-14.18,-28.44,889.364737535,29.6454912512,16.0,0.533333333333,163.0,4973843.0,110.0,134.0,
KWC0004,23.0,38.0,39.0,20.0,27.0,-5.35,-22.66,1480.37605009,25.9715096506,24.0,0.421052631579,81.0,2322676.0,20.0,70.0,
CJK0200,40.0,29.0,24.0,38.0,31.0,-19.54,-26.65,922.842095068,25.6345026408,16.0,0.444444444444,42.0,1173526.0,0.0,40.0,
FEB0306,40.0,42.0,26.0,25.0,31.0,-15.53,-27.28,245.123813415,24.5123813415,16.0,1.6,27.0,831851.0,28.0,27.0,
NKH0807,45.0,44.0,40.0,22.0,20.0,-15.2,-35.03,804.107932967,30.927228191,28.0,1.07692307692,375.0,11387892.0,205.0,202.0,
JMC0925,33.0,10.0,23.0,19.0,31.0,-6.48,-8.63,1271.69867663,32.6076583752,16.0,0.410256410256,423.0,12644656.0,419.0,223.0,
SBH0537,34.0,21.0,14.0,13.0,33.0,-7.73,-9.24,1046.32667417,31.7068689141,16.0,0.484848484848,306.0,9134840.0,278.0,193.0,
JJB0700,15.0,19.0,39.0,37.0,28.0,-6.98,-18.8,194.401444029,32.4002406715,16.0,2.66666666667,19.0,580673.0,28.0,19.0,
AIS0405,40.0,45.0,14.0,37.0,35.0,-23.21,-30.2,652.134336168,29.6424698258,30.0,1.36363636364,339.0,9955348.0,176.0,212.0,
HAH0760,34.0,17.0,22.0,37.0,30.0,-16.13,-19.69,478.213605613,29.8883503508,30.0,1.875,71.0,2033024.0,48.0,67.0,
AHD0848,24.0,30.0,49.0,16.0,30.0,0.57,-17.54,206.401659285,29.4859513265,30.0,4.28571428571,53.0,1619900.0,71.0,46.0,
LDM0587,49.0,20.0,23.0,21.0,26.0,-14.94,-20.2,252.537807129,28.0597563477,16.0,1.77777777778,39.0,1204085.0,10.0,37.0,
AJN0607,45.0,42.0,16.0,47.0,23.0,-30.91,-40.11,1898.85030644,35.8273642724,16.0,0.301886792453,498.0,15042903.0,526.0,270.0,
EIS0041,41.0,44.0,17.0,48.0,30.0,-28.53,-37.23,1081.45401406,36.0484671352,16.0,0.533333333333,675.0,19603921.0,562.0,223.0,
MLG0475,45.0,16.0,18.0,19.0,25.0,-13.73,-16.49,133.712230614,33.4280576534,16.0,4.0,16.0,512288.0,10.0,16.0,
EPW0434,32.0,36.0,38.0,22.0,33.0,-7.4,-21.91,651.463725472,23.266561624,24.0,0.857142857143,237.0,7110991.0,127.0,177.0,
JAM0382,25.0,23.0,41.0,17.0,23.0,-2.72,-17.45,428.247558675,26.7654724172,16.0,1.0,17.0,500695.0,5.0,17.0,
NCK0295,31.0,30.0,38.0,36.0,34.0,-11.92,-24.29,208.374160894,26.0467701117,16.0,2.0,21.0,587242.0,0.0,21.0,
LJT0817,39.0,43.0,38.0,39.0,24.0,-20.09,-37.94,1020.53817599,29.1582335996,16.0,0.457142857143,363.0,10656073.0,395.0,198.0,
CAM0102,31.0,44.0,19.0,15.0,27.0,-11.56,-22.85,923.253187775,27.9773693265,16.0,0.484848484848,200.0,6113871.0,0.0,157.0,
SOG0411,26.0,19.0,21.0,24.0,23.0,-10.39,-16.41,1011.8412142,28.1067003943,16.0,0.444444444444,575.0,17683732.0,521.0,270.0,
KSH0569,15.0,39.0,23.0,14.0,22.0,-5.73,-19.07,1075.35585733,31.6281134508,24.0,0.705882352941,239.0,7116189.0,275.0,164.0,
BDI0533,37.0,36.0,15.0,41.0,19.0,-26.18,-34.77,435.859249438,29.0572832958,16.0,1.06666666667,155.0,4695526.0,140.0,125.0,
PMJ0564,30.0,21.0,40.0,14.0,39.0,0.98,-8.95,1255.36737665,32.1889070935,28.0,0.717948717949,233.0,7278957.0,254.0,168.0,
HGG0240,20.0,26.0,24.0,36.0,31.0,-12.2,-19.51,810.84549752,27.9601895696,16.0,0.551724137931,579.0,17358575.0,356.0,245.0,
MGS0974,17.0,39.0,39.0,40.0,27.0,-12.31,-29.8,811.911218627,33.8296341095,18.0,0.75,313.0,9251551.0,283.0,193.0,
DHM0937,43.0,22.0,21.0,15.0,24.0,-11.86,-17.82,885.249605646,27.6640501765,28.0,0.875,235.0,7419043.0,128.0,146.0,
CEB0210,42.0,24.0,44.0,23.0,34.0,-7.17,-19.79,1081.56234388,27.7323677918,16.0,0.410256410256,307.0,9221615.0,194.0,197.0,
YJV0699,17.0,25.0,30.0,13.0,31.0,0.25,-9.61,73.7560111755,24.5853370585,28.0,9.33333333333,8.0,259887.0,0.0,8.0,
BMT0528,33.0,25.0,39.0,25.0,30.0,-7.7,-20.08,393.854996212,23.1679409536,16.0,0.941176470588,154.0,4696076.0,196.0,122.0,
CJC0494,40.0,39.0,39.0,42.0,42.0,-16.47,-29.32,2025.69923361,31.6515505252,16.0,0.25,1002.0,29433881.0,671.0,335.0,
GCS0571,22.0,18.0,16.0,23.0,32.0,-7.69,-9.73,272.447487662,30.2719430736,30.0,3.33333333333,69.0,2048283.0,22.0,61.0,
BJP0134,42.0,17.0,44.0,21.0,39.0,-3.99,-13.54,251.265460339,31.4081825423,16.0,2.0,17.0,475663.0,12.0,17.0,
KBP0008,23.0,18.0,40.0,11.0,34.0,3.65,-7.0,1721.12321815,31.872652188,16.0,0.296296296296,72.0,2301359.0,48.0,64.0,
FLM0213,20.0,41.0,46.0,15.0,24.0,-1.75,-23.43,1245.2640363,31.9298470846,16.0,0.410256410256,375.0,11354205.0,243.0,232.0,
RRP0568,43.0,50.0,38.0,18.0,33.0,-11.22,-29.18,671.207463719,30.509430169,28.0,1.27272727273,160.0,5220261.0,116.0,112.0,
SAA0999,20.0,17.0,34.0,11.0,36.0,3.69,-4.15,994.504572077,34.2932611061,16.0,0.551724137931,173.0,5121373.0,207.0,113.0,
THR0873,37.0,44.0,21.0,40.0,38.0,-20.97,-29.67,1201.91434315,30.0478585787,24.0,0.6,224.0,6620937.0,201.0,137.0,
KRM0541,40.0,20.0,38.0,36.0,23.0,-15.66,-27.31,978.817243321,29.6611285855,16.0,0.484848484848,649.0,19693293.0,210.0,257.0,
KSP0966,42.0,36.0,19.0,24.0,35.0,-15.53,-22.01,175.115569792,29.1859282986,30.0,5.0,41.0,1147980.0,0.0,37.0,
LOF0311,41.0,15.0,36.0,10.0,32.0,-2.32,-10.23,1355.63440633,30.1252090296,24.0,0.533333333333,361.0,10490648.0,244.0,207.0,
MBR0724,33.0,44.0,18.0,35.0,31.0,-20.05,-29.55,192.331919749,32.0553199582,16.0,2.66666666667,19.0,542441.0,0.0,19.0,
MLP0668,40.0,17.0,16.0,43.0,33.0,-21.29,-21.52,1235.58462476,35.3024178504,16.0,0.457142857143,637.0,19104075.0,708.0,270.0,
CUD0795,12.0,40.0,30.0,44.0,24.0,-15.66,-30.96,1226.89308374,36.0850906981,24.0,0.705882352941,218.0,6789651.0,232.0,169.0,
GZC0735,44.0,16.0,15.0,27.0,25.0,-17.62,-19.16,1728.39877639,32.6112976677,16.0,0.301886792453,725.0,21668891.0,712.0,290.0,
HLH0512,15.0,42.0,36.0,22.0,32.0,-4.0,-20.53,835.321902964,32.1277654986,24.0,0.923076923077,208.0,6160800.0,196.0,158.0,
NJB0243,23.0,35.0,37.0,24.0,34.0,-5.41,-19.45,834.940024016,26.0918757505,28.0,0.875,132.0,3947264.0,31.0,102.0,
GCS0518,41.0,36.0,23.0,38.0,21.0,-23.61,-34.56,329.914548409,23.5653248863,30.0,2.14285714286,131.0,4236540.0,0.0,102.0,
NMC0486,42.0,10.0,23.0,21.0,27.0,-11.0,-13.58,1984.43127593,32.5316602611,24.0,0.393442622951,946.0,28105990.0,0.0,329.0,
KMB0922,43.0,43.0,17.0,24.0,27.0,-19.37,-28.86,576.228310896,26.1921959498,24.0,1.09090909091,289.0,8468555.0,257.0,173.0,
CFM0767,46.0,23.0,22.0,35.0,29.0,-20.07,-24.98,320.155836317,29.1050760289,24.0,2.18181818182,50.0,1584893.0,5.0,48.0,
HAD0246,44.0,39.0,32.0,45.0,38.0,-21.67,-32.59,1436.32430571,30.5600916108,16.0,0.340425531915,235.0,6778697.0,241.0,180.0,
ANP0555,13.0,40.0,42.0,23.0,28.0,-2.97,-22.16,1115.99877771,30.9999660474,24.0,0.666666666667,737.0,22028514.0,0.0,271.0,
LBF0214,18.0,44.0,18.0,38.0,28.0,-17.56,-28.44,2176.37026928,34.0057854575,16.0,0.25,506.0,15019066.0,454.0,309.0,
DJB0159,20.0,37.0,27.0,38.0,37.0,-12.63,-22.71,1502.89683581,30.0579367163,30.0,0.6,1502.0,44958048.0,1174.0,359.0,
BWP0202,20.0,36.0,15.0,25.0,28.0,-12.04,-19.73,945.396601305,27.8057823913,16.0,0.470588235294,527.0,15616941.0,377.0,210.0,
CQH0730,21.0,18.0,37.0,49.0,27.0,-14.52,-25.01,2432.56378348,36.8570270225,16.0,0.242424242424,689.0,20405500.0,223.0,279.0,
JCR0289,32.0,43.0,33.0,33.0,29.0,-15.46,-30.78,217.766826552,27.220853319,16.0,2.0,25.0,778595.0,12.0,25.0,
AES0827,39.0,40.0,34.0,38.0,23.0,-20.42,-36.2,272.569259867,27.2569259867,16.0,1.6,33.0,1020761.0,0.0,33.0,
SLP0762,26.0,13.0,40.0,18.0,26.0,-1.38,-12.18,336.396287827,30.5814807116,16.0,1.45454545455,52.0,1583955.0,47.0,49.0,
CLD0894,19.0,21.0,50.0,16.0,36.0,5.2,-9.63,460.949959697,28.8093724811,30.0,1.875,116.0,3422970.0,0.0,96.0,
LCD0622,30.0,26.0,13.0,14.0,26.0,-9.69,-14.02,1554.9704889,30.4896174294,16.0,0.313725490196,576.0,17838010.0,0.0,282.0,
CMB0912,46.0,43.0,16.0,22.0,31.0,-18.7,-26.79,1617.03817281,31.0968879387,28.0,0.538461538462,469.0,13936913.0,394.0,237.0,
ZKS0899,47.0,20.0,42.0,43.0,30.0,-18.09,-29.12,345.574466676,26.5826512828,24.0,1.84615384615,109.0,3138322.0,24.0,85.0,
JCV0245,40.0,44.0,22.0,20.0,27.0,-15.66,-27.51,668.480487714,25.710787989,16.0,0.615384615385,124.0,3753018.0,19.0,95.0,
AMH0794,43.0,42.0,33.0,40.0,31.0,-21.13,-35.02,907.270815482,28.3522129838,24.0,0.75,274.0,8270660.0,184.0,193.0,
FKB0163,39.0,35.0,25.0,39.0,22.0,-22.54,-33.8,635.444024998,27.6280010869,30.0,1.30434782609,1420.0,43076143.0,315.0,322.0,
AKC0924,40.0,44.0,35.0,37.0,27.0,-19.72,-36.04,621.180954613,27.0078675919,16.0,0.695652173913,306.0,8982665.0,238.0,168.0,
ILR0304,20.0,22.0,18.0,46.0,30.0,-17.6,-21.6,254.213107747,36.3161582496,16.0,2.28571428571,21.0,643173.0,4.0,21.0,
AJF0370,37.0,33.0,11.0,15.0,36.0,-11.44,-14.32,1223.93933727,29.141412792,16.0,0.380952380952,759.0,22778829.0,622.0,311.0,
OKC0107,32.0,40.0,16.0,47.0,35.0,-23.81,-30.34,1090.37516118,30.2881989218,24.0,0.666666666667,506.0,15037149.0,299.0,248.0,
OCS0865,29.0,24.0,43.0,35.0,32.0,-9.16,-22.28,1136.10547448,28.4026368619,24.0,0.6,192.0,5842066.0,185.0,127.0,
UJC0737,16.0,12.0,12.0,38.0,25.0,-14.06,-14.55,1686.32770684,40.1506596867,28.0,0.666666666667,512.0,15135884.0,349.0,223.0,
MCF0327,39.0,41.0,24.0,44.0,25.0,-25.18,-36.96,1360.66675332,32.3968274599,16.0,0.380952380952,365.0,10593111.0,0.0,202.0,
SGS0268,47.0,45.0,30.0,19.0,22.0,-16.69,-32.6,863.318255029,31.9747501862,24.0,0.888888888889,198.0,5991261.0,54.0,156.0,
BNG0237,39.0,36.0,36.0,47.0,27.0,-22.19,-36.49,1039.55442174,30.575130051,16.0,0.470588235294,785.0,22936036.0,892.0,264.0,
OSH0655,16.0,21.0,42.0,39.0,28.0,-7.71,-21.11,668.885832041,35.2045174758,30.0,1.57894736842,134.0,4252627.0,90.0,111.0,
CSB0080,35.0,19.0,39.0,34.0,36.0,-9.77,-18.81,802.057310878,27.657148651,16.0,0.551724137931,145.0,4203158.0,0.0,104.0,
ERH0449,44.0,15.0,35.0,17.0,25.0,-8.16,-17.02,148.879780801,24.8132968001,30.0,5.0,21.0,556915.0,0.0,21.0,
EGK0893,21.0,30.0,11.0,47.0,27.0,-22.08,-26.35,501.045513091,38.5419625455,24.0,1.84615384615,104.0,3139675.0,11.0,82.0,
ESA0642,32.0,14.0,44.0,30.0,32.0,-6.06,-16.7,631.281998602,31.5640999301,30.0,1.5,107.0,3385421.0,0.0,89.0,
CRK0916,32.0,46.0,26.0,19.0,32.0,-10.95,-24.11,660.726616446,27.5302756853,16.0,0.666666666667,363.0,10906037.0,97.0,197.0,
BBH0810,40.0,25.0,10.0,21.0,32.0,-14.85,-15.77,886.624718674,30.5732661612,28.0,0.965517241379,328.0,10035707.0,0.0,172.0,
JRF0835,44.0,33.0,18.0,37.0,18.0,-25.57,-34.39,386.197447385,32.1831206154,16.0,1.33333333333,38.0,1245679.0,33.0,38.0,
SJC0333,22.0,39.0,31.0,36.0,29.0,-13.61,-27.51,330.604034623,25.4310795864,28.0,2.15384615385,114.0,3605184.0,96.0,88.0,
HCS0003,35.0,28.0,14.0,15.0,30.0,-10.73,-14.8,1578.82688334,28.7059433334,16.0,0.290909090909,68.0,2066450.0,64.0,62.0,
EMB0531,31.0,41.0,31.0,36.0,36.0,-14.95,-27.35,472.447627894,26.2470904385,24.0,1.33333333333,119.0,3508716.0,112.0,92.0,
JIM0095,10.0,18.0,21.0,15.0,35.0,1.32,-2.64,1730.94756528,37.6292948974,28.0,0.608695652174,258.0,8007704.0,90.0,195.0,
KJS0618,19.0,15.0,20.0,10.0,37.0,1.48,-0.46,1806.96699245,36.8768773969,16.0,0.326530612245,597.0,17820490.0,341.0,271.0,
EBC0390,40.0,40.0,40.0,22.0,33.0,-9.94,-25.91,1108.82251616,27.0444516137,24.0,0.585365853659,49.0,1473343.0,0.0,45.0,
WGS0516,11.0,20.0,39.0,20.0,29.0,1.61,-10.8,513.069346998,32.0668341874,28.0,1.75,130.0,3725493.0,0.0,103.0,
NGF0157,45.0,38.0,22.0,46.0,32.0,-26.18,-34.43,949.933366345,30.6430118176,16.0,0.516129032258,35.0,1075905.0,24.0,33.0,
KAT0489,22.0,41.0,36.0,23.0,26.0,-7.81,-25.07,1487.6947181,27.549902187,16.0,0.296296296296,841.0,25529618.0,832.0,316.0,
CCH0685,47.0,24.0,42.0,34.0,29.0,-15.1,-27.66,760.471983542,28.1656290201,16.0,0.592592592593,162.0,4791126.0,170.0,112.0,
DMM0623,36.0,27.0,21.0,39.0,30.0,-19.44,-25.29,1446.38475476,26.297904632,16.0,0.290909090909,568.0,17125461.0,626.0,292.0,
SAH0599,13.0,22.0,44.0,18.0,22.0,1.12,-15.25,233.913142153,38.9855236922,30.0,5.0,38.0,1080807.0,28.0,34.0,
CPG0322,17.0,13.0,19.0,24.0,36.0,-4.11,-5.17,1724.57643613,35.195437472,16.0,0.326530612245,329.0,9898578.0,320.0,192.0,
OBH0499,35.0,18.0,41.0,16.0,34.0,-1.85,-12.17,1185.90670894,28.2358740223,16.0,0.380952380952,843.0,25170407.0,697.0,343.0,
SNS0129,26.0,10.0,43.0,35.0,30.0,-6.5,-16.31,1005.83695677,33.527898559,18.0,0.6,33.0,978967.0,21.0,32.0,
PKB0429,34.0,42.0,43.0,40.0,22.0,-18.09,-38.2,600.394711594,31.5997216629,28.0,1.47368421053,256.0,7908528.0,130.0,173.0,
NAH0503,33.0,17.0,23.0,35.0,38.0,-12.8,-14.98,1460.14627472,29.2029254943,16.0,0.32,775.0,22893379.0,725.0,321.0,
FRB0023,45.0,14.0,12.0,14.0,14.0,-15.4,-18.01,1085.25392511,37.4225491419,18.0,0.620689655172,33.0,1032099.0,26.0,32.0,
CWB0065,50.0,33.0,14.0,20.0,23.0,-19.86,-26.09,1065.36884733,34.3667370105,28.0,0.903225806452,244.0,7270735.0,211.0,168.0,
ATP0662,17.0,16.0,41.0,20.0,39.0,3.35,-6.08,1420.15649708,32.2762840246,16.0,0.363636363636,301.0,9075850.0,326.0,178.0,
DPM0423,37.0,38.0,38.0,15.0,27.0,-7.65,-23.99,1006.43230533,25.8059565469,16.0,0.410256410256,522.0,15822830.0,514.0,274.0,
WKF0012,37.0,44.0,20.0,45.0,23.0,-26.97,-38.65,1788.18705775,33.1145751435,18.0,0.333333333333,306.0,9085004.0,170.0,191.0,
AKF0709,42.0,31.0,29.0,22.0,32.0,-12.09,-21.6,35.1925087577,17.5962543789,30.0,15.0,11.0,356720.0,0.0,11.0,
CJF0802,36.0,39.0,38.0,43.0,21.0,-20.99,-38.48,1416.68066423,31.4817925384,24.0,0.533333333333,249.0,7461086.0,205.0,183.0,
IRM0931,44.0,46.0,33.0,35.0,30.0,-20.16,-35.45,1194.78915811,27.154299048,16.0,0.363636363636,344.0,10377121.0,334.0,210.0,
FQA0854,41.0,38.0,30.0,34.0,26.0,-19.26,-32.29,939.229281961,24.7165600516,16.0,0.421052631579,196.0,6083686.0,179.0,126.0,
GRC0145,30.0,43.0,24.0,46.0,27.0,-23.18,-35.47,1040.59063563,28.1240712333,16.0,0.432432432432,40.0,1232549.0,56.0,35.0,
KKS0119,15.0,28.0,39.0,33.0,27.0,-6.94,-21.59,1026.94559846,28.5262666238,16.0,0.444444444444,368.0,11002630.0,367.0,203.0,
DBB0384,40.0,41.0,28.0,37.0,27.0,-20.99,-33.88,782.951072999,25.2564862258,24.0,0.774193548387,36.0,1024103.0,7.0,33.0,
TRK0914,40.0,19.0,14.0,33.0,30.0,-18.53,-19.47,1337.05832882,31.8347221147,16.0,0.380952380952,406.0,12369537.0,225.0,228.0,
BSA0431,50.0,41.0,19.0,40.0,29.0,-27.05,-35.59,966.162344123,33.3159429008,24.0,0.827586206897,262.0,7877210.0,67.0,181.0,
CFG0959,42.0,21.0,24.0,17.0,20.0,-12.47,-20.19,354.795475816,32.2541341651,16.0,1.45454545455,45.0,1448177.0,41.0,41.0,
VMJ0147,23.0,28.0,37.0,22.0,24.0,-5.83,-20.25,1059.83898183,24.6474181822,16.0,0.372093023256,489.0,14655125.0,580.0,216.0,
SAT0194,14.0,19.0,36.0,23.0,35.0,0.27,-9.16,1047.94493998,29.9412839993,18.0,0.514285714286,608.0,18435327.0,257.0,259.0,
HBO0413,41.0,35.0,18.0,15.0,18.0,-15.53,-25.5,965.110543469,30.1597044834,30.0,0.9375,292.0,8651854.0,0.0,190.0,
DZC0228,37.0,37.0,34.0,21.0,38.0,-8.43,-20.36,880.969490854,25.1705568815,24.0,0.685714285714,588.0,17754460.0,209.0,255.0,
TEB0251,44.0,50.0,22.0,13.0,36.0,-12.65,-24.05,823.725817054,34.3219090439,24.0,1.0,115.0,3411650.0,99.0,91.0,
