user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
AHD0848,24.0,30.0,49.0,16.0,30.0,-13.311999999999998,-24.351333333333336,14,9,12,15,-17.3,-28.5,5,-13.247272727272728,-22.90192513368984,91,51,97,95,-14.69,-23.45,24,18,0,0,
LDM0587,49.0,20.0,23.0,21.0,26.0,-16.143333333333334,-24.018666666666668,10,4,15,19,-19.494999999999997,-26.77,6,-13.164331550802139,-22.88770053475936,91,51,97,96,-14.6,-24.009999999999998,24,18,0,0,
AJN0607,45.0,42.0,16.0,47.0,23.0,-12.459333333333333,-23.256666666666664,15,8,15,13,-14.360000000000001,-24.405,5,-12.138525641025637,-22.66519230769231,85,46,74,77,-12.605,-23.75,23,18,0,0,
BBS0039,44.0,37.0,34.0,21.0,40.0,-15.840000000000002,-25.838,9,3,9,11,-18.195,-27.8,10,-14.391186440677963,-24.527457627118643,31,14,24,32,-15.619999999999997,-25.559999999999995,18,8,0,0,
EIS0041,41.0,44.0,17.0,48.0,30.0,-14.916,-25.035,10,3,9,11,-16.44,-26.485,11,-14.077966101694916,-24.25525423728814,32,14,24,32,-15.619999999999997,-25.559999999999995,19,18,0,0,
MLG0475,45.0,16.0,18.0,19.0,25.0,-15.582333333333333,-25.601,11,4,12,15,-18.525,-29.795,3,-13.17080213903743,-22.90754010695187,91,51,97,96,-14.6,-24.009999999999998,24,18,0,0,
HRD0635,24.0,35.0,18.0,32.0,24.0,-11.376999999999999,-21.414333333333335,14,9,17,11,-11.905,-21.095,4,-11.965448717948718,-22.476987179487182,77,45,84,70,-12.04,-22.525,24,5,0,0,
EPW0434,32.0,36.0,38.0,22.0,33.0,-13.5515,-25.425500000000003,11,7,10,8,-12.180000000000001,-25.194999999999997,3,-13.609140625,-24.341874999999998,72,31,49,57,-14.719999999999999,-25.32,19,18,0,0,
JAM0382,25.0,23.0,41.0,17.0,23.0,-14.058000000000002,-24.32,6,3,6,6,-18.85,-28.189999999999998,0,-13.036799999999998,-23.4324,51,27,42,48,-14.59,-25.839999999999996,16,18,0,0,
NCK0295,31.0,30.0,38.0,36.0,34.0,-12.968,-23.110666666666667,13,6,15,15,-15.185,-25.55,3,-13.18048128342246,-22.86582887700535,92,52,97,95,-14.69,-23.45,24,18,0,0,
LJT0817,39.0,43.0,38.0,39.0,24.0,-12.23733333333333,-24.053333333333335,11,4,5,8,-11.049999999999999,-25.36,3,-12.700600000000001,-23.226300000000002,56,27,45,57,-12.469999999999999,-23.995,17,18,0,0,
CAM0102,31.0,44.0,19.0,15.0,27.0,-15.2525,-26.091,9,4,6,8,-20.07,-29.580000000000002,1,-13.576640625,-24.33453125,72,31,49,58,-14.515,-25.160000000000004,19,18,0,0,
SOG0411,26.0,19.0,21.0,24.0,23.0,-13.423499999999999,-23.8555,11,4,7,12,-14.565000000000001,-24.53,4,-13.58578125,-24.384843749999998,72,30,48,58,-14.594999999999999,-25.380000000000003,19,18,0,0,
KSH0569,15.0,39.0,23.0,14.0,22.0,-8.802000000000001,-19.24666666666667,10,5,8,14,-5.809999999999999,-15.759999999999998,2,-12.844199999999999,-23.415,55,27,45,57,-12.209999999999999,-24.625,17,18,0,0,
BDI0533,37.0,36.0,15.0,41.0,19.0,-12.619666666666667,-23.552999999999997,13,10,16,13,-13.144999999999998,-24.225,7,-11.902115384615387,-22.41692307692308,77,45,84,70,-11.889999999999999,-22.4,25,18,0,0,
PMJ0564,30.0,21.0,40.0,14.0,39.0,-9.249333333333333,-19.921333333333333,10,4,7,13,-8.690000000000001,-23.68,2,-12.911299999999999,-23.516199999999998,55,26,44,56,-13.034999999999998,-24.78,17,18,0,0,
HGG0240,20.0,26.0,24.0,36.0,31.0,-16.18,-25.27466666666667,7,4,5,8,-21.130000000000003,-29.21,5,-12.779499999999999,-23.410600000000002,56,27,44,56,-12.195000000000002,-24.875,17,18,0,0,
MGS0974,17.0,39.0,39.0,40.0,27.0,0,0,0,0,0,0,0,0,0,-11.520000000000001,-22.945,7,1,3,7,-11.52,-24.21,1,18,0,0,
DHM0937,43.0,22.0,21.0,15.0,24.0,-14.774000000000003,-25.041999999999998,6,3,7,9,-17.479999999999997,-27.8,2,-12.782899999999998,-23.4275,55,26,44,57,-12.139999999999997,-24.72,17,18,0,0,
ENC0234,21.0,23.0,32.0,19.0,23.0,-13.544666666666664,-24.438000000000002,8,4,6,7,-13.049999999999997,-26.54,3,-13.017699999999998,-23.444999999999997,51,27,42,48,-14.59,-25.839999999999996,15,13,0,0,
CEB0210,42.0,24.0,44.0,23.0,34.0,-11.795333333333332,-24.585333333333338,8,3,4,6,-13.960000000000003,-27.33,2,-14.440000000000001,-24.550847457627118,31,13,23,32,-15.780000000000001,-26.0,19,18,0,0,
YJV0699,17.0,25.0,30.0,13.0,31.0,-10.45566666666667,-20.477,19,10,16,17,-9.310000000000002,-20.089999999999996,2,-13.245561497326202,-22.944331550802133,91,51,97,95,-14.85,-23.89,24,18,0,0,
BMT0528,33.0,25.0,39.0,25.0,30.0,-13.235666666666667,-24.04266666666667,12,9,15,12,-14.17,-25.85,7,-12.020576923076922,-22.511089743589743,76,44,83,69,-12.54,-23.11,25,18,0,0,
CJC0494,40.0,39.0,39.0,42.0,42.0,-11.543666666666665,-22.328,18,10,15,16,-10.690000000000001,-21.255000000000003,6,-12.231089743589742,-22.734358974358976,85,46,74,76,-12.855,-23.630000000000003,23,18,0,0,
SOB0360,42.0,22.0,40.0,16.0,32.0,-15.613,-24.440000000000005,11,5,7,12,-15.944999999999999,-23.98,5,-14.47135593220339,-24.606610169491525,31,13,23,32,-15.780000000000001,-26.0,18,11,0,0,
GCS0571,22.0,18.0,16.0,23.0,32.0,-16.384999999999998,-24.367666666666665,10,4,15,18,-19.915,-27.255,6,-13.203101604278075,-22.943689839572194,91,51,97,95,-14.6,-24.009999999999998,24,18,0,0,
BJP0134,42.0,17.0,44.0,21.0,39.0,-13.232333333333333,-23.469,12,5,15,15,-16.134999999999998,-26.905,3,-13.222887700534757,-22.92331550802139,91,51,97,95,-14.85,-23.89,24,18,0,0,
KBP0008,23.0,18.0,40.0,11.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,
FLM0213,20.0,41.0,46.0,15.0,24.0,-12.156666666666666,-24.342666666666666,8,4,5,7,-13.7,-26.229999999999997,2,-14.531864406779661,-24.489152542372878,31,14,24,33,-15.919999999999998,-25.809999999999995,19,18,0,0,
RRP0568,43.0,50.0,38.0,18.0,33.0,-8.436,-18.572666666666663,10,5,8,13,-5.51,-15.509999999999998,2,-12.789299999999997,-23.313899999999997,55,27,45,56,-12.805,-24.435,17,18,0,0,
MCF0600,39.0,49.0,13.0,26.0,27.0,-15.941666666666666,-23.664,10,5,16,19,-18.695,-24.57,5,-13.131978609625666,-22.83080213903743,91,52,98,96,-14.44,-23.57,23,10,0,0,
SAA0999,20.0,17.0,34.0,11.0,36.0,0,0,0,0,0,0,0,0,0,-12.083636363636366,-21.41909090909091,6,5,7,5,-10.649999999999999,-20.159999999999997,2,18,0,0,
THR0873,37.0,44.0,21.0,40.0,38.0,-11.198,-21.141333333333336,16,10,14,14,-12.01,-22.485000000000003,3,-12.20224358974359,-22.732115384615383,85,46,74,76,-12.605,-23.75,23,18,0,0,
KRM0541,40.0,20.0,38.0,36.0,23.0,-6.6240000000000006,-15.654,13,9,10,8,-3.880000000000001,-10.64,5,-12.907400000000003,-23.333799999999997,52,28,42,48,-13.795,-25.1,16,18,0,0,
KSP0966,42.0,36.0,19.0,24.0,35.0,-11.409666666666666,-20.834333333333333,20,15,21,10,-10.674999999999997,-18.38,5,-13.161176470588238,-22.87802139037433,91,52,98,95,-14.44,-23.57,24,18,0,0,
LOF0311,41.0,15.0,36.0,10.0,32.0,-11.609666666666666,-21.85033333333333,20,10,13,17,-12.135000000000002,-22.85,3,-12.321794871794872,-22.85673076923077,84,45,73,76,-13.285,-24.040000000000003,23,18,0,0,
MBR0724,33.0,44.0,18.0,35.0,31.0,-9.779,-19.812333333333335,20,11,17,17,-8.345000000000002,-18.595,2,-13.13700534759358,-22.837700534759357,92,52,98,95,-14.44,-23.57,24,18,0,0,
FSC0601,37.0,30.0,37.0,15.0,30.0,-13.293,-23.962333333333333,14,7,14,12,-17.064999999999998,-27.465,4,-12.298846153846153,-22.800897435897436,84,45,73,76,-13.285,-24.040000000000003,22,15,0,0,
MLP0668,40.0,17.0,16.0,43.0,33.0,-15.660666666666664,-26.993333333333332,6,2,3,8,-18.85,-30.299999999999997,4,-12.8511,-23.3917,52,28,42,47,-13.545,-25.220000000000002,16,18,0,0,
CUD0795,12.0,40.0,30.0,44.0,24.0,-14.713333333333331,-25.110666666666667,4,1,5,9,-16.810000000000002,-28.9,1,-12.9074,-23.2973,52,28,43,48,-13.864999999999998,-25.005000000000003,16,18,0,0,
AKR0057,50.0,41.0,20.0,18.0,30.0,-12.713333333333335,-23.769333333333332,8,5,7,6,-11.51,-24.03,3,-12.892999999999997,-23.3447,51,28,43,47,-14.109999999999998,-25.615,15,11,0,0,
